LINE_ID,NAME,FROM_NODE,TO_NODE,R_PU,X_PU,B_PU,NUM_LINES
l_754,Queensland Alumina Limited to Queensland Alumina Limited South Tee,434,379,1.0293285590270176e-06,0.002147384383291485,1.8504954250854785e-06,1
l_755,Callemondah to Gladstone South-T152,433,441,1.179298374977026e-05,0.024602512885297505,2.120106576823781e-05,1
l_756,Calliope River-H67 to Gladstone South-T152,433,516,1.335731797150329e-05,0.027866025636923947,2.4013378022896276e-05,1
l_757,Gladstone-T5 to Calliope River-H67,516,439,2.3497119626935185e-06,0.004901967141270008,4.2242403546473905e-06,2
l_758,Gladstone South-T152 to Callide A Power Station,928,433,8.364859761887048e-05,0.17450763474472,0.00015038089233126284,2
l_759,Gladstone South-T152 to Gladstone South-T19,433,158,5.036805753696406e-07,0.0010507779972008396,9.055015449167936e-07,1
l_760,Gladstone South-T152 to Gladstone South-T19,433,158,4.216271047512434e-07,0.0008795981150771301,7.579883231567197e-07,1
l_761,Gladstone South-T152 to Queensland Alumina Limited,433,379,3.077845818019736e-06,0.006420999384338569,5.5332571465303115e-06,2
l_763,Wurdong to Boyne Island,432,380,1.715246300526864e-06,0.003945109126287664,5.2688856509637596e-05,1
l_764,Wurdong to Boyne Island,432,380,1.6046808993552945e-06,0.003690805955320537,4.929251363137578e-05,1
l_765,Boat Creek Tee to Boat Creek,435,783,4.852073938809688e-08,0.00010122392613515395,8.722910238137221e-08,1
l_766,Boat Creek to Boat Creek Tee,436,783,4.949556853146199e-08,0.00010325761388284297,8.898162042259153e-08,1
l_767,Yarwun to Boat Creek Tee,436,703,1.5110160778836735e-06,0.0031522804842963486,2.71645852515489e-06,1
l_768,Yarwun to Boat Creek Tee,435,703,1.5494735772599137e-06,0.0032325104874928435,2.785596242195628e-06,1
l_769,Aramara to Kilkivan,389,672,6.372083299825358e-05,0.13293434877597998,0.0001145553661285415,1
l_770,Kilkivan to Woolooga,389,388,1.9039743134248245e-05,0.039720696282840424,3.422906831423516e-05,1
l_771,Kilkivan to Woolooga,389,388,1.904388290819559e-05,0.03972933267580448,3.423651067331795e-05,1
l_772,Woolooga to Gympie,388,391,2.9814889145329442e-05,0.06219979692467346,5.360029650300869e-05,2
l_774,Stanwell Power Station to Bouldercombe,220,223,1.8697747173754488e-05,0.039007224594648594,3.361423842853799e-05,1
